"","vaiable","cv","max","mean","min","sd","std.error"
"1","CHROMAMETER.FLESH.COLOR.A",53.7986494083662,27.37,12.8664705882353,-0.64,6.97072265010636,1.69064857489847
"2","CHROMAMETER.FLESH.COLOR.B",29.0788605595944,46.6,34.8970588235294,13.1,10.1476670746937,2.46117077662146
"3","CHROMAMETER.FLESH.COLOR.L",16.2372657347358,75.6,57.1382352941176,41.7,9.2776871008445,2.25016963989485
"4","CHROMAMETER.SKIN.COLOR.A",72.6727270628099,20.1,9.29194444444444,-1.95,7.03290316150343,1.65767117230913
"5","CHROMAMETER.SKIN.COLOR.B",13.3937444500121,67.1,56.5833333333333,37.4,7.57862706796515,1.78629953061403
"6","CHROMAMETER.SKIN.COLOR.L",7.69005522284484,70.6,64.0305555555556,51.6,4.92398508171657,1.16059441391439
"7","FRUIT.DIAMETER",35.9754251205839,19.5,11.0657142857143,1.2,3.9809377569149,0.475813069904418
"8","FRUIT.LENGTH",37.9177274322866,34.2,17.6,2.7,6.67352002808244,0.797638206253019
"9","FRUIT.WEIGHT",72.5425965322717,4121,1171.84285714286,2.4,850.085235849388,101.604619425996
"10","PUNCTURE.TEST",41.3946283386791,16.2,6.61567164179105,1.5,2.73853268822679,0.334565016872246
"11","SEED.CAVITY.LENGTH",43.1095801920658,26.8,12.9,2.1,5.56113584477649,0.664682866207186
"12","SEED.CAVITY.WIDTH",43.9050753425719,12.9,6.61285714285714,1,2.90337991086807,0.347020273323626
"13","TOTAL.SOLUBLE.SOLIDS",22.833043623095,17.7,9.93484848484849,4.8,2.26842828843384,0.279224220203018
